,country,count
0,Philippines,213482
1,Kenya,113376
2,Peru,77816
3,Cambodia,60611
4,El Salvador,51147
5,Uganda,39823
6,Nicaragua,38918
7,Tajikistan,33410
8,Pakistan,30908
9,Ecuador,26500
10,Colombia,25556
11,Bolivia,22768
12,Ghana,20046
13,Paraguay,19187
14,Mexico,17840
15,Nigeria,16468
16,Vietnam,16382
17,Lebanon,14809
18,Rwanda,14271
19,Togo,14014
20,Tanzania,14011
21,Samoa,13254
22,Honduras,13110
23,Mali,12725
24,Sierra Leone,12723
25,Senegal,10867
26,Armenia,10775
27,Azerbaijan,10217
28,Guatemala,9883
29,Mongolia,9542
30,Kyrgyzstan,9283
31,Palestine,9277
32,Indonesia,8703
33,Liberia,8639
34,India,8529
35,Jordan,8487
36,Benin,6660
37,Georgia,5970
38,South Sudan,5868
39,Mozambique,5527
40,United States,5337
41,Ukraine,4586
42,Dominican Republic,4395
43,Costa Rica,4192
44,Zimbabwe,4173
45,Yemen,3921
46,Iraq,3631
47,Congo (Dem. Rep.),3435
48,Cameroon,3090
49,Timor-Leste,3025
50,Haiti,2512
51,Afghanistan,2478
52,Albania,2384
53,Burkina Faso,2223
54,Madagascar,2038
55,Nepal,1890
56,Burundi,1654
57,Kosovo,1646
58,Turkey,1191
59,Lao PDR,1052
60,Congo (Rep.),954
61,Egypt,926
62,Chile,917
63,Zambia,789
64,Malawi,659
65,South Africa,623
66,Bosnia and Herzegovina,617
67,Moldova,510
68,Myanmar (Burma),416
69,Israel,396
70,Suriname,299
71,Bulgaria,282
72,Cote D'Ivoire,260
73,Sri Lanka,255
74,Somalia,234
75,Belize,219
76,Solomon Islands,198
77,Panama,192
78,Lesotho,184
79,Brazil,158
80,China,120
81,Thailand,112
82,Chad,69
83,Puerto Rico,27
84,St Vincent,20
85,Bangladesh,14
86,Gaza,8
87,Namibia,7
88,Vanuatu,4
89,Guam,2
90,Mauritania,1
91,Botswana,1
92,Papua New Guinea,1
